id,person_name,nine_box_category,feedback,adjusted,reviewed
612,Yahir Harvey,"Category 6: 'High Performer' (High performance, Moderate potential)",Requires additional scope[e. Willingness to self start. Outperforms task. motivated to exceed.,TRUE,TRUE
552,Briley Mcknight,"Category 7: 'Potential Gem' (Low performance, High potential)",Basically Briley Mcknight  have high potential in his work experience. But in recent days he is doing low performance in his core. I think he have to update more in his core area. He have to concentrate little more in new updated technology.,FALSE,FALSE
10215,Emerson Rose,"Category 2: 'Average performer' (Moderate performance, Low potential)",Emerson Rose is a fairly average worker.  she puts out satisfactory work and she shows little potential.  I would like to see a little bit more from her because other people tend to out work her.  However I am satisfied with her being at the company and she benefits the company,FALSE,FALSE
315,Jay Reid,"Category 4: 'Inconsistent Player' (Low performance, Moderate potential)","I am writing a review for Mr. Jay Reid. While he is a great person, unfortunately that doesn't show up in his performance at work. He is not engaging consistently in team projects. He does have some good with his work so he does have the possibility of becoming a better worker.",FALSE,FALSE
447,Chelsea Ross,"Category 6: 'High Performer' (High performance, Moderate potential)",Chelsea Ross performed at a high level this past year.  She is one of the most reliable and solid performers on my team.  She has a firm grasp on the material and possess's the skill sets needed.  She definitely has potential to continue to grow and possibly move up in the organization.,FALSE,FALSE
186,Eloise Foster,"Category 3: 'Solid Performer' (High performance, Low potential)","Eloise Foster is a follower rather than a leader. While she does complete her tasks in a timely manner, she does so without being inventive.
In team settings she gladly does the lions share of work. But does not contribute her own ideas. She will gladly let someone else take the lead.",FALSE,FALSE
238,Eloise Foster,"Category 3: 'Solid Performer' (High performance, Low potential)",Eloise is a very capable worker and always produces excellent work. She always finishes her work early and diligently pursues new tasks. However she responds very poorly to feedback and doesn't seek to improve herself. She is an incredibly strong worker but doesn't seek to improve herself.,FALSE,FALSE
621,Dennis Buchanan,"Category 8: 'High Potential' (Moderate performance, High potential)","Dennis is a consistently reliable as an employee.  His work product is always above par and his dedication and commitment to his work is show by his work output.  Dennis is a team player and gets along with all members of the team, willing to assist and help when needed.  He is a leader and reflects qualities that would make him a great supervisor for the team.",FALSE,FALSE
10020,Kieran Clarke,"Category 5: 'Core Player' (Moderate performance, Moderate potential)","Kieran is a linchpin of the team, and a dependable worker. Can be trusted with tasks of moderate complexity, and excellent interpersonal skills - potential management material in the future.",FALSE,FALSE
560,Logan Ellis,"Category 7: 'Potential Gem' (Low performance, High potential)","While I have found some issues with Logan's performance in the past, specifically a lack of attention to detail, I find he exhibits a lot of promise in all other facets of the job. He is quick to think on his feet and provides very creative solutions to problems. I have been quite concise on the few factors that are limiting his productivity, with him graciously accepting feedback. Therefor, I am confident that he will continue to improve his performance and live up to the true potential that lies within them. Furthermore, I must commend Logan on a personal level, as I find him to continuously exhibit grace to employees.",FALSE,FALSE
80,Mackenzie Jennings,"Category 1: 'Risk' (Low performance, Low potential)",Mackenzie has trouble staying on task and completing her duties. She is well-liked by her coworkers but spends too much time socializing. Mackenzie does not seem to be serious about advancing in the company. She needs more instruction on how to adequately complete her duties.,FALSE,FALSE
326,Dylan Baker,"Category 1: 'Risk' (Low performance, Low potential)",He is not helpful.  Dylan is not a teamplayer.  He does not incorporate feedback. He is reliable most of the time but would be better if he listened to feedback and cooperated more.,TRUE,TRUE
531,Lauren Baker,"Category 4: 'Inconsistent Player' (Low performance, Moderate potential)","Lauren really struggled this quarter and I am disappointed in the work product that she's been turning in to me. She's failed to catch even basic spelling mistakes and her research consistently fails to address key client requests. Three times this quarter, I've had to completely redo her reports because they were so off the mark from what the client had requested. I am confident that Lauren can really turn things around and become a critical player on this team, however. Her past performance was solid and she's always shown a willingness to improve. I know she's had a tough time this quarter because she was out sick for three weeks with the flu and had a hard time catching up with her workload. I trust that her performance issues are isolated to this quarter and will not be repeated.",TRUE,TRUE
19,Tom Barrett,"Category 1: 'Risk' (Low performance, Low potential)","Tom's work product frequently leaves me in a state of serious disappointment. He is not proactive about asking for extensions on deadlines, so he has blown past numerous hard deadlines that clients have given him. Moreover, it is unclear what he's spending all his time on, since the reports he finally produces are usually riddled with errors. He seems uninterested in correcting course because every time I have coached him on ways he can speak with clients to give them status updates, he has ignored me. He has also largely ignored many of the edits that I've suggested on his reports. Thus I don't see him going very far in this company.",FALSE,TRUE
545,Kallie Beard,"Category 7: 'Potential Gem' (Low performance, High potential)","Kallie has really had a hard time with every task involving Excel that I've given her. Many of her reports are riddled with quantitative errors. Fortunately, I think that her performance is about to really take off since she has been working under the mentorship of our in-house Excel guru, who's really taken her under his wing. Once Kallie understands how to properly use Excel I think her work product will improve significantly.",FALSE,FALSE
133,Lance Hatfield,"Category 2: 'Average performer' (Moderate performance, Low potential)","Lance is a very standard worker. He always gets his work done on time and it is usually of sufficient quality. That being said he shows little to no desire to improve himself. Although his current work is consistently acceptable, he his little or no room for growth and is unlikely to improve past what he currently is.",FALSE,FALSE
